Type,Tipo
This list expired or its filters changed. Refresh to continue.,Esta lista venció o sus filtros cambiaron. Actualiza para continuar.
This profile uses single-register cash custody. Multi-register custody arrives with shared safes.,Este perfil usa custodia de efectivo de una sola caja. La custodia para varias cajas llega con las cajas fuertes compartidas.
This record is maintained by POS register actions and cannot be edited directly.,Este registro lo mantienen las acciones de caja POS y no se puede editar directamente.
This record is unavailable or outside your access.,Este registro no está disponible o está fuera de tu acceso.
This request ID was already used for a different instruction.,Este identificador de solicitud ya se usó para otra instrucción.
This screen is out of date. Reload POS to continue.,Esta pantalla está desactualizada. Recarga POS para continuar.
This store has no cajas yet,Esta tienda aún no tiene cajas
This store is suspended; new shifts cannot open.,Esta tienda está suspendida; no se pueden abrir turnos nuevos.
Timezone,Zona horaria
Unknown filter.,Filtro desconocido.
Unknown register settings: {0},Configuración de caja desconocida: {0}
Unknown store status.,Estado de tienda desconocido.
Workspace view,Vista del espacio de trabajo
You already have an open shift ({0}). Close it before opening a new one.,Ya tienes un turno abierto ({0}). Ciérralo antes de abrir uno nuevo.
You already have an open shift ({0}). Close it before opening another.,Ya tienes un turno abierto ({0}). Ciérralo antes de abrir otro.
You cannot assign people to this store.,No puedes asignar personas a esta tienda.
You cannot create stores for this company.,No puedes crear tiendas para esta empresa.
Your caja,Tu caja
Your password,Tu contraseña
Your shift,Tu turno
a browser recovery case is unresolved,hay un caso de recuperación de navegador sin resolver
a cash bag from this caja is still in custody,una bolsa de efectivo de esta caja sigue en custodia
a draft or pending sale must be completed or cancelled,hay que completar o cancelar una venta en borrador o pendiente
an open shift must be closed,hay que cerrar un turno abierto
in use,en uso
the drawer account still holds an unexplained balance,la cuenta del cajón aún tiene un saldo sin explicar
You already have an open shift ({0}) on POS Profile {1}. Close it before opening a new one.,Ya tienes un turno abierto ({0}) en el perfil POS {1}. Ciérralo antes de abrir uno nuevo.
Caja Mostrador,Caja Mostrador
Centro,Centro
This device is now connected to,Este dispositivo ya está conectado a
A supervisor must activate the caja before it can open.,Un supervisor debe activar la caja antes de poder abrirla.
Caja openings are paused on this site. Open with your POS profile.,Las aperturas por caja están en pausa en este sitio. Abre con tu perfil POS.
Cash for this profile is kept per caja. Open your caja shift before taking or paying out cash.,El efectivo de este perfil se maneja por caja. Abre tu turno de caja antes de recibir o entregar efectivo.
Select at least one bag to print.,Selecciona al menos una bolsa para imprimir.
Cash bag queues,Colas de bolsas de efectivo
In the safe,En la caja fuerte
All bags,Todas las bolsas
Print selected bags,Imprimir bolsas seleccionadas
Print bag labels,Imprimir etiquetas de bolsas
Paper format,Formato de papel
80 mm receipt,Ticket de 80 mm
100 × 76 mm label,Etiqueta de 100 × 76 mm
Handover sheet,Hoja de entrega
Print closing bags,Imprimir bolsas del corte
Cash bag labels,Etiquetas de bolsas de efectivo
Select between 1 and 50 bags to print.,Selecciona entre 1 y 50 bolsas para imprimir.
This closing has no submitted cash bag handover.,Este corte no tiene una entrega de bolsas confirmada.
The closing count does not match this shift.,El conteo del corte no corresponde a este turno.
The closing bag allocation needs review.,Es necesario revisar las bolsas asignadas a este corte.
This closing has no bags to print.,Este corte no tiene bolsas para imprimir.
Closing bags,Bolsas del corte
Shift closed. Label the bags.,Turno cerrado. Identifica las bolsas.
"Print one slip per bag, or copy its folio, amount, date and shift onto paper. Attach it to the matching bag.","Imprime una hoja por bolsa o anota su folio, importe, fecha y turno en un papel. Colócalo en la bolsa correspondiente."
The shift is closed. Its bag labels could not be loaded. Retry here or print them from the closing record.,El turno está cerrado. No se pudieron cargar sus etiquetas. Reintenta aquí o imprímelas desde el registro del corte.
"The shift is closed. Printing failed; allow pop-ups and retry, or copy the bag details onto paper.","El turno está cerrado. Falló la impresión; permite ventanas emergentes y reintenta, o anota los datos de las bolsas en papel."
Shift closed. Print the bag labels from the closing record.,Turno cerrado. Imprime las etiquetas de bolsas desde el registro del corte.
Filtered bags,Bolsas filtradas
Photo evidence,Evidencia fotográfica
Photograph the cash and the bag seal. Photos are private and do not replace the physical count.,Fotografía el efectivo y el sello de la bolsa. Las fotos son privadas y no sustituyen el conteo físico.
Take photo,Tomar foto
Choose photo,Elegir foto
Discard unsent photo,Descartar foto sin guardar
Unsent photo,Foto sin guardar
Saved photos stay linked to this record.,Las fotos guardadas quedan vinculadas a este registro.
No photos yet.,Todavía no hay fotos.
Photo limit reached.,Se alcanzó el límite de fotos.
Photos could not be loaded. Retry when connected.,No se pudieron cargar las fotos. Reintenta con conexión.
"Choose a JPEG, PNG or WebP photo.","Elige una foto JPEG, PNG o WebP."
This photo is too large. Choose a photo smaller than 5 MB.,La foto es demasiado grande. Elige una foto de menos de 5 MB.
Saving photo…,Guardando foto…
Photo saved.,Foto guardada.
Photo was not confirmed. Keep this screen open and retry; the cash record is unchanged.,No se confirmó la foto. Mantén esta pantalla abierta y reintenta; el registro de efectivo no cambió.
A photo is still unsent. Leave without saving it?,Hay una foto sin guardar. ¿Salir sin guardarla?
Load photo evidence,Cargar evidencia fotográfica
Photos of cash and bag,Fotos del efectivo y de la bolsa
Cash bags & safe,Bolsas y caja fuerte
"Bags, counts, photos and handovers","Bolsas, conteos, fotos y entregas"
Bag list & labels,Lista de bolsas y etiquetas
This cash record does not exist or belongs to a register you cannot access.,El registro no existe o pertenece a una caja a la que no tienes acceso.
Photos can only be kept on a cash bag or a cash count.,Las fotos sólo se guardan en una bolsa o un conteo de efectivo.
Sign in to see cash photos.,Inicia sesión para ver fotos del efectivo.
Take or choose a photo first.,Primero toma o elige una foto.
"This file is not a photo. Take a JPEG, PNG or WebP photo and try again.","El archivo no es una foto. Toma una foto JPEG, PNG o WebP e inténtalo de nuevo."
The photo is larger than 5 MB. Take it again at a lower resolution.,La foto supera los 5 MB. Tómala de nuevo con menor resolución.
The photo did not arrive complete. Try again.,La foto no llegó completa. Inténtalo de nuevo.
"This file is not a readable photo. Take a JPEG, PNG or WebP photo and try again.","El archivo no contiene una foto legible. Toma una foto JPEG, PNG o WebP e inténtalo de nuevo."
This photo is too large to keep. Take it again at a lower resolution.,La foto es demasiado grande. Tómala de nuevo con menor resolución.
Your role cannot add photos to cash records.,Tu rol no permite añadir fotos a registros de efectivo.
"This record already has {0} photos, the most it can keep.","Este registro ya tiene {0} fotos, el máximo permitido."
Cash photos are added from the cash record and cannot be changed afterwards.,Las fotos se añaden desde el registro de efectivo y no pueden modificarse después.
Cash photos cannot be copied or attached to another record.,Las fotos de efectivo no pueden copiarse ni adjuntarse a otro registro.
